,Developed By,NOS Title,Suite,SuiteMetadata,Occupations,OccupationsMetadata,Name,Validity,Indicative Review Date,NOS Document Status,URN,SOC Code,NOSCategory,Keywords,Original URN,Created,Modified,Item Type,Path
674,energy & utility skills,join materials by electrofusion processes for site operations in gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc010.pdf,current,2021-12-01 00:00:00,original,eus gnc010,,,"gas, network, gas network, electrofusion, joining",eus gnc010,2018-10-05 16:03:09,2019-02-14 11:18:48,item,publishednos
1652,energy & utility skills,join materials by electrofusion processes for site operations in gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc010.pdf,current,2021-12-01 00:00:00,original,eus gnc010,5314,jobspecific,"gas, network, gas network, electrofusion, joining",eus gnc010,2018-01-31 10:59:11,2019-03-21 12:40:24,item,publishednos-old
673,energy & utility skills,joint materials by butt fusion  processes in non routine operations for gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc011.pdf,current,2021-12-01 00:00:00,original,eus gnc011,,,"gas, network, gas network, butt fusion, jointing",eus gnc011,2018-10-05 16:03:10,2019-02-14 11:18:52,item,publishednos
1651,energy & utility skills,joint materials by butt fusion  processes in non routine operations for gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc011.pdf,current,2021-12-01 00:00:00,original,eus gnc011,5314,jobspecific,"gas, network, gas network, butt fusion, jointing",eus gnc011,2018-01-31 10:59:14,2019-03-21 12:40:28,item,publishednos-old
672,energy & utility skills,install engineering components and assets in gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc012.pdf,current,2021-12-01 00:00:00,original,eus gnc012,,,"gas, network, gas network, assets, components and assets",eus gnc012,2018-10-05 16:03:11,2019-02-14 11:18:56,item,publishednos
1650,energy & utility skills,install engineering components and assets in gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc012.pdf,current,2021-12-01 00:00:00,original,eus gnc012,5314,core,"gas, network, gas network, assets, components and assets",eus gnc012,2018-01-31 10:59:16,2019-03-21 12:41:05,item,publishednos-old
671,energy & utility skills,conduct specified testing of gas network engineering components and assets in gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc013.pdf,current,2021-12-01 00:00:00,original,eus gnc013,,,"gas, network, gas network, testing, assets, pressure, pressures",eus gnc013,2018-10-05 16:03:12,2019-02-14 11:19:03,item,publishednos
1649,energy & utility skills,conduct specified testing of gas network engineering components and assets in gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc013.pdf,current,2021-12-01 00:00:00,original,eus gnc013,5314,core,"gas, network, gas network, testing, assets, pressure, pressures",eus gnc013,2018-01-31 10:59:19,2019-03-21 12:41:23,item,publishednos-old
670,energy & utility skills,conduct and commission specified connections to gas network assets,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc014.pdf,current,2021-12-01 00:00:00,original,eus gnc014,,,"gas, network, gas network, commission, connections, mains",eus gnc014,2018-10-05 16:03:13,2019-02-14 11:19:07,item,publishednos
1648,energy & utility skills,conduct and commission specified connections to gas network assets,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc014.pdf,current,2021-12-01 00:00:00,original,eus gnc014,5314,jobspecific,"gas, network, gas network, commission, connections, mains",eus gnc014,2018-01-31 10:59:21,2019-03-21 12:40:28,item,publishednos-old
